time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
448178830080,1,0.0,,0.015625,71,0
448178830336,1,0.0,,0.0,71,0
448178830592,1,0.0,,0.015625,72,0
448178830848,1,0.0,,0.015625,71,0
448178831104,1,0.0,,0.015625,71,0
448178831360,1,0.0,,0.0,71,0
448178831616,1,0.0,,0.0,71,0
448178831872,1,0.0,,0.0,71,0
448178832128,1,0.0,,0.015625,71,0
448178832384,1,0.0,,0.01953125,72,0
448178832640,1,0.0,,0.015625,72,0
448178832896,1,0.0,,0.015625,72,0
448178833152,1,0.0,,0.015625,73,0
448178833408,1,0.0,,0.0,73,0
448178833664,1,0.0,,0.0,73,0
448178833920,1,0.0,,0.0,73,0
448178834176,1,0.0,,0.0,73,0
448178834432,1,0.0,,0.0,73,0
448178834688,1,0.0,,0.0,74,0
448178834944,1,0.0,,0.0,74,0
448178835200,1,0.0,,0.0,74,0
448178835456,1,0.0,,0.0,74,0
448178835712,1,0.0,,0.0,74,0
448178835968,1,0.0,,0.0,73,0
448178836224,1,0.0,,0.0,73,0
448178836480,1,0.0,,0.0,72,0
448178836736,1,0.0,,0.0,72,0
448178836992,1,0.0,,0.0,72,0
448178837248,1,0.0,,0.0,71,0
448178837504,1,0.0,,0.0,71,0
448178837760,1,0.0,,0.015625,72,0
448178838016,1,0.0,,0.0,71,0
448178838272,1,0.0,,0.0,72,0
448178838528,1,0.0,,0.015625,72,0
448178838784,1,0.0,,0.0,72,0
448178839040,1,0.0,,0.0,72,0
448178839296,1,0.0,,0.01953125,73,0
448178839552,1,0.0,,0.0,74,0
448178839808,1,0.0,,0.0,74,0
448178840064,1,0.0,,0.0,75,0
448178840320,1,0.0,,0.015625,76,0
448178840576,1,0.0,,0.0,76,0
448178840832,1,0.0,,0.0,76,0
448178841088,1,0.0,,0.0,75,0
448178841344,1,0.0,,0.015625,75,0
448178841600,1,0.0,,0.0,75,0
448178841856,1,0.0,,0.015625,75,0
448178842112,1,0.0,,0.0,75,0
448178842368,1,0.0,,0.0,75,0
448178842624,1,0.0,,0.0,75,0
448178842880,1,0.0,,0.0,74,0
448178843136,1,0.0,,0.0,74,0
448178843392,1,0.0,,0.0,74,0
448178843648,1,0.0,,0.0,74,0
448178843904,1,0.0,,0.0,74,0
448178844160,1,0.0,,0.0,74,0
448178844416,1,0.0,,0.0,74,0
448178844672,1,0.0,,0.015625,75,0
448178844928,1,0.0,,0.0,75,0
448178845184,1,0.0,,0.015625,75,0
448178845440,1,0.0,,0.015625,75,0
448178845696,1,0.0,,0.0,75,0
448178845952,1,0.0,,0.0,75,0
448178846208,1,0.0,,0.0,75,0
448178846464,1,0.0,,0.0,75,0
448178846720,1,0.0,,0.0,75,0
448178846976,1,0.0,,0.0,75,0
448178847232,1,0.0,,0.0,75,0
448178847488,1,0.0,,0.0,75,0
448178847744,1,0.0,,0.0,75,0
448178848000,1,0.0,,0.0,75,0
448178848256,1,0.0,,0.015625,75,0
448178848512,1,0.0,,0.0,75,0
448178848768,1,0.0,,0.0,75,0
448178849024,1,0.0,,0.0,76,0
448178849280,1,0.0,,0.015625,76,0
448178849536,1,0.0,,0.0,76,0
448178849792,1,0.0,,0.0,76,0
448178850048,1,0.0,,0.0,76,0
448178850304,1,0.0,,0.015625,76,0
448178850560,1,0.0,,0.0,76,0
448178850816,1,0.0,,0.0,76,0
448178851072,1,0.0,,0.0,77,0
448178851328,1,0.0,,0.015625,77,0
448178851584,1,0.0,,0.015625,77,0
448178851840,1,0.0,,0.015625,77,0
448178852096,1,0.0,,0.0,78,0
448178852352,1,0.0,,0.0,78,0
448178852608,1,0.0,,0.015625,78,0
448178852864,1,0.0,,0.0,78,0
448178853120,1,0.0,,0.0,78,0
448178853376,1,0.0,,0.0,78,0
448178853632,1,0.0,,0.0,78,0
448178853888,1,0.0,,0.0,79,0
448178854144,1,0.0,,0.015625,79,0
448178854400,1,0.0,,0.0,80,0
448178854656,1,0.0,,0.015625,80,0
448178854912,1,0.0,,0.0,79,0
448178855168,1,0.0,,0.0,78,0
448178855424,1,0.0,,0.0,78,0
448178855680,1,0.0,,0.0,78,0
448178855936,1,0.0,,0.0,78,0
448178856192,1,0.0,,0.0,77,0
448178856448,1,0.0,,0.0,77,0
448178856704,1,0.0,,0.015625,77,0
448178856960,1,0.0,,0.0,77,0
448178857216,1,0.0,,0.015625,76,0
448178857472,1,0.0,,0.0,75,0
448178857728,1,0.0,,0.0,75,0
448178857984,1,0.0,,0.0,74,0
448178858240,1,0.0,,0.0,75,0
448178858496,1,0.0,,0.0,76,0
448178858752,1,0.0,,0.015625,76,0
448178859008,1,0.0,,0.015625,76,0
448178859264,1,0.0,,0.0,76,0
448178859520,1,0.0,,0.0,75,0
448178859776,1,0.0,,0.0,75,0
448178860032,1,0.0,,0.0,75,0
448178860288,1,0.0,,0.0,74,0
448178860544,1,0.0,,0.0,74,0
448178860800,1,0.0,,0.0,74,0
448178861056,1,0.0,,0.0,74,0
448178861312,1,0.0,,0.0,74,0
448178861568,1,0.0,,0.0,73,0
448178861824,1,0.0,,0.0,72,0
448178862080,1,0.0,,0.0,72,0
448178862336,1,0.0,,0.0,71,0
448178862592,1,0.0,,0.0,71,0
448178862848,1,0.0,,0.0,71,0
448178863104,1,0.0,,0.0,71,0
448178863360,1,0.0,,0.0,70,0
448178863616,1,0.0,,0.0,70,0
448178863872,1,0.0,,0.0,69,0
448178864128,1,0.0,,0.0,69,0
448178864384,1,0.0,,0.0,69,0
